Instancia,Clase,Algoritmo,Avg_Vehiculos,Avg_Distancia,BKS_Vehiculos,BKS_Distancia,GAP_Vehiculos(%),GAP_Distancia(%),GAP_Unificado(%)
rc107,RC1,QLEARNING,11.0,1244.1,11,1230.48,0.0,1.1068851180027217,0.012244845118001736
rc108,RC1,CLASSIC,10.2,1149.97,10,1139.82,1.9999999999999927,0.8904914811110606,1.9874961217055696
rc108,RC1,QLEARNING,10.3,1159.93,10,1139.82,3.000000000000007,1.7643136635609242,2.9860741298530944
rc201,RC2,CLASSIC,4.0,1431.9,4,1406.94,0.0,1.7740628598234491,0.06027975020612275
rc201,RC2,QLEARNING,4.0,1431.78,4,1406.94,0.0,1.765533711458905,0.05998994371474083
rc202,RC2,CLASSIC,4.0,1176.26,3,1365.65,33.33333333333333,-13.86812140738843,31.278197646151124
rc202,RC2,QLEARNING,4.0,1178.92,3,1365.65,33.33333333333333,-13.67334236444184,31.286678261091343
rc203,RC2,CLASSIC,3.0,1075.69,3,1049.62,0.0,2.4837560259903744,0.08396238021592442
rc203,RC2,QLEARNING,3.1,1063.97,3,1049.62,3.333333333333336,1.3671614489053312,3.2668676782517863
rc204,RC2,CLASSIC,3.0,809.21,3,798.46,0.0,1.3463417077874908,0.03490434261972839
rc204,RC2,QLEARNING,3.0,806.66,3,798.46,0.0,1.0269769305913798,0.026624707858771923
rc205,RC2,CLASSIC,4.0,1323.98,4,1297.65,0.0,2.029052518013326,0.06375665443433644
rc205,RC2,QLEARNING,4.0,1341.19,4,1297.65,0.0,3.3552961122028253,0.10542972784165895
rc206,RC2,CLASSIC,3.3,1158.54,3,1146.32,9.999999999999993,1.0660199595226487,9.671190689622405
rc206,RC2,QLEARNING,3.2,1171.93,3,1146.32,6.666666666666672,2.234105659850664,6.503529148868953
rc207,RC2,CLASSIC,3.1,1112.51,3,1061.14,3.333333333333336,4.841020035056626,3.3848403503541693
rc207,RC2,QLEARNING,3.2,1075.82,3,1061.14,6.666666666666672,1.3834178336505865,6.486175330332371
rc208,RC2,CLASSIC,3.0,848.51,3,828.14,0.0,2.459729031323207,0.06607599420529095
rc208,RC2,QLEARNING,3.0,852.53,3,828.14,0.0,2.9451542009805087,0.07911602840780993
