Instancia,Algoritmo,Avg_Vehiculos,Avg_Distancia,Best_Vehiculos,Best_Distancia,Runs_OK,Avg_Tiempo,Veh_Run1,Dist_Run1,Veh_Run2,Dist_Run2,Veh_Run3,Dist_Run3,Veh_Run4,Dist_Run4,Veh_Run5,Dist_Run5,Veh_Run6,Dist_Run6,Veh_Run7,Dist_Run7,Veh_Run8,Dist_Run8,Veh_Run9,Dist_Run9,Veh_Run10,Dist_Run10
r207,QLEARNING,3.0,814.38,3,812.72,10,17.79,3,812.72,3,814.49,3,814.99,3,814.73,3,813.45,3,814.99,3,814.99,3,814.99,3,813.45,3,814.99
r208,CLASSIC,2.0,734.22,2,727.69,10,21.26,2,739.64,2,727.69,2,736.74,2,729.29,2,740.09,2,730.34,2,732.15,2,735.14,2,736.04,2,735.11
r208,QLEARNING,2.0,731.42,2,726.82,10,21.67,2,741.47,2,726.82,2,732.58,2,730.19,2,732.15,2,741.09,2,727.69,2,726.82,2,727.69,2,727.69
r209,CLASSIC,3.0,929.9,3,919.78,10,18.54,3,920.92,3,932.97,3,925.63,3,933.49,3,925.63,3,945.57,3,944.71,3,919.78,3,928.03,3,922.24
r209,QLEARNING,3.0,926.71,3,919.49,10,15.56,3,919.49,3,924.03,3,926.48,3,924.31,3,929.33,3,921.3,3,925.15,3,928.48,3,936.85,3,931.65
r210,CLASSIC,3.0,957.99,3,943.09,10,19.27,3,944.79,3,966.68,3,943.09,3,961.72,3,946.52,3,953.1,3,966.15,3,965.52,3,967.26,3,965.05
r210,QLEARNING,3.0,949.67,3,940.45,10,17.08,3,944.79,3,954.4,3,950.24,3,942.64,3,949.6,3,964.13,3,940.45,3,947.88,3,948.5,3,954.12
r211,CLASSIC,3.0,801.65,3,784.44,10,20.77,3,784.44,3,797.77,3,807.36,3,801.36,3,808.92,3,798.31,3,815.48,3,801.58,3,802.94,3,798.36
r211,QLEARNING,3.0,785.84,3,773.17,10,18.17,3,789.9,3,786.39,3,773.17,3,795.3,3,778.81,3,783.08,3,784.83,3,782.49,3,778.89,3,805.58
rc101,CLASSIC,14.9,1648.17,14,1698.82,10,8.92,15,1644.73,15,1646.26,15,1641.51,15,1639.37,15,1642.29,14,1698.82,15,1637.83,15,1649.7,15,1638.36,15,1642.82
rc101,QLEARNING,15.0,1638.68,15,1635.24,10,10.36,15,1638.36,15,1639.31,15,1637.0,15,1641.57,15,1641.2,15,1639.97,15,1640.69,15,1636.62,15,1636.88,15,1635.24
rc102,CLASSIC,12.8,1505.09,12,1558.16,10,11.41,13,1501.74,13,1485.27,13,1477.85,12,1566.98,13,1503.42,13,1495.69,13,1493.85,12,1558.16,13,1479.12,13,1488.83
rc102,QLEARNING,12.9,1501.95,12,1580.38,10,15.19,13,1492.15,13,1498.32,12,1580.38,13,1501.37,13,1490.37,13,1489.59,13,1491.23,13,1502.85,13,1492.68,13,1480.55
rc103,CLASSIC,11.0,1277.31,11,1264.3,10,12.98,11,1280.15,11,1264.3,11,1285.32,11,1269.81,11,1289.81,11,1278.37,11,1279.14,11,1279.37,11,1265.8,11,1281.05
rc103,QLEARNING,11.0,1271.37,11,1263.54,10,15.48,11,1282.6,11,1271.44,11,1276.44,11,1263.54,11,1264.3,11,1266.37,11,1267.3,11,1275.99,11,1265.8,11,1279.94
rc104,CLASSIC,10.0,1150.21,10,1141.34,10,15.17,10,1145.2,10,1151.79,10,1141.34,10,1146.74,10,1144.18,10,1145.02,10,1148.1,10,1150.57,10,1157.7,10,1171.44
rc104,QLEARNING,10.0,1145.42,10,1139.65,10,15.11,10,1141.85,10,1149.19,10,1146.34,10,1139.9,10,1151.96,10,1146.61,10,1143.05,10,1146.94,10,1139.65,10,1148.7
rc105,CLASSIC,14.0,1558.73,14,1544.4,10,10.76,14,1558.61,14,1544.4,14,1565.4,14,1561.68,14,1559.57,14,1548.53,14,1560.02,14,1560.45,14,1567.96,14,1560.69
rc105,QLEARNING,13.9,1562.73,13,1664.0,10,14.64,13,1664.0,14,1555.38,14,1547.6,14,1555.97,14,1542.27,14,1549.14,14,1551.3,14,1553.27,14,1553.64,14,1554.69
rc106,CLASSIC,12.0,1402.68,12,1385.92,10,10.34,12,1408.48,12,1390.42,12,1419.17,12,1403.3,12,1412.19,12,1403.79,12,1386.79,12,1385.92,12,1398.55,12,1418.24
rc106,QLEARNING,12.0,1395.35,12,1385.56,10,11.48,12,1395.06,12,1404.83,12,1395.73,12,1400.4,12,1389.85,12,1391.25,12,1403.0,12,1401.07,12,1385.56,12,1386.79
rc107,CLASSIC,11.0,1258.28,11,1244.73,10,12.24,11,1267.44,11,1276.26,11,1261.13,11,1249.72,11,1276.92,11,1252.02,11,1253.54,11,1250.49,11,1244.73,11,1250.51
rc107,QLEARNING,11.0,1249.51,11,1244.19,10,15.09,11,1246.41,11,1255.48,11,1249.92,11,1254.54,11,1256.43,11,1249.38,11,1246.67,11,1247.45,11,1244.19,11,1244.62
rc108,CLASSIC,10.7,1152.06,10,1139.82,10,14.92,11,1159.89,10,1145.62,11,1158.26,11,1141.68,10,1139.82,10,1147.3,11,1163.34,11,1164.56,11,1138.57,11,1161.6
rc108,QLEARNING,10.2,1147.46,10,1140.87,10,16.19,10,1142.55,10,1140.87,10,1159.06,10,1157.01,10,1146.82,11,1142.2,10,1141.88,10,1151.96,11,1136.97,10,1155.28
rc201,CLASSIC,4.0,1437.35,4,1413.52,10,10.68,4,1431.39,4,1450.35,4,1440.33,4,1430.67,4,1427.68,4,1477.45,4,1438.45,4,1413.52,4,1435.12,4,1428.56
rc201,QLEARNING,4.0,1424.95,4,1416.81,10,11.66,4,1419.94,4,1424.37,4,1426.15,4,1424.14,4,1425.87,4,1418.49,4,1416.81,4,1441.19,4,1435.7,4,1416.81
rc202,CLASSIC,4.0,1181.99,4,1162.8,10,15.52,4,1214.18,4,1197.08,4,1163.62,4,1162.87,4,1192.57,4,1176.2,4,1173.03,4,1162.8,4,1186.22,4,1191.3
rc202,QLEARNING,4.0,1163.68,4,1161.29,10,13.91,4,1161.29,4,1165.09,4,1164.06,4,1164.02,4,1161.29,4,1161.29,4,1161.29,4,1165.57,4,1167.31,4,1165.57
rc203,CLASSIC,3.0,1079.34,3,1068.41,10,21.13,3,1091.14,3,1076.61,3,1081.0,3,1078.89,3,1078.71,3,1068.52,3,1068.41,3,1083.86,3,1089.41,3,1076.86
rc203,QLEARNING,3.0,1074.07,3,1061.1,10,18.55,3,1085.19,3,1061.1,3,1073.58,3,1074.74,3,1072.5,3,1072.48,3,1076.06,3,1081.06,3,1072.01,3,1072.02
rc204,CLASSIC,3.0,801.48,3,798.51,10,21.22,3,798.78,3,798.51,3,803.96,3,800.51,3,803.13,3,799.61,3,800.31,3,800.45,3,807.38,3,802.16
rc204,QLEARNING,3.0,799.96,3,798.56,10,19.66,3,800.32,3,799.47,3,801.11,3,799.16,3,798.56,3,799.48,3,804.03,3,799.16,3,799.16,3,799.12
rc205,CLASSIC,4.0,1327.56,4,1311.39,10,14.49,4,1325.47,4,1340.36,4,1311.39,4,1319.74,4,1327.97,4,1320.96,4,1331.05,4,1318.59,4,1339.62,4,1340.42
rc205,QLEARNING,4.0,1322.6,4,1310.26,10,13.94,4,1318.89,4,1333.59,4,1329.71,4,1316.49,4,1310.26,4,1316.93,4,1331.9,4,1330.8,4,1319.44,4,1317.95
rc206,CLASSIC,3.0,1168.42,3,1146.32,10,13.76,3,1169.34,3,1146.32,3,1174.65,3,1184.86,3,1159.88,3,1186.8,3,1146.32,3,1183.75,3,1178.6,3,1153.69
rc206,QLEARNING,3.0,1155.51,3,1146.32,10,14.12,3,1153.69,3,1153.69,3,1146.32,3,1168.82,3,1146.32,3,1156.77,3,1146.32,3,1165.19,3,1165.99,3,1152.03
rc207,CLASSIC,3.0,1090.32,3,1078.58,10,17.97,3,1094.79,3,1085.2,3,1087.65,3,1101.35,3,1092.56,3,1078.58,3,1084.81,3,1100.99,3,1082.26,3,1095.05
rc207,QLEARNING,3.0,1085.67,3,1071.42,10,17.56,3,1077.27,3,1071.42,3,1089.17,3,1093.55,3,1089.17,3,1094.95,3,1080.75,3,1096.34,3,1088.25,3,1075.8
rc208,CLASSIC,3.0,850.3,3,829.7,10,19.19,3,856.75,3,829.7,3,865.12,3,854.83,3,841.76,3,858.75,3,847.94,3,852.25,3,849.73,3,846.2
rc208,QLEARNING,3.0,841.22,3,828.71,10,14.92,3,831.48,3,834.88,3,846.64,3,845.58,3,828.71,3,840.06,3,853.14,3,841.99,3,844.1,3,845.58
