instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
c204,CLASSIC,7,7,3,590.599,11.4062,1
c204,CLASSIC,8,8,3,590.599,10.5156,1
c204,CLASSIC,9,9,3,590.599,9.625,1
c204,CLASSIC,10,10,3,590.599,10.3281,1
c204,QLEARNING,1,1,3,590.599,10.9844,1
c204,QLEARNING,2,2,3,590.599,11.4062,1
c204,QLEARNING,3,3,3,590.599,10.7969,1
c204,QLEARNING,5,5,3,590.599,10.9531,1
c204,QLEARNING,6,6,3,590.599,10.5,1
c204,QLEARNING,4,4,3,590.599,12.4375,1
c204,QLEARNING,7,7,3,590.599,11.1875,1
c205,CLASSIC,1,1,3,588.876,7.35938,1
c204,QLEARNING,8,8,3,590.599,11.7188,1
c205,CLASSIC,2,2,3,588.876,6.59375,1
c204,QLEARNING,9,9,3,590.599,10.9531,1
c204,QLEARNING,10,10,3,590.599,11.5312,1
c205,CLASSIC,4,4,3,588.876,7.57812,1
c205,CLASSIC,3,3,3,588.876,8.17188,1
c205,CLASSIC,5,5,3,588.876,7.42188,1
c205,CLASSIC,7,7,3,588.876,6.9375,1
c205,CLASSIC,6,6,3,588.876,7.57812,1
c205,CLASSIC,8,8,3,588.876,6.60938,1
c205,CLASSIC,9,9,3,588.876,6.71875,1
c205,CLASSIC,10,10,3,588.876,7.07812,1
c205,QLEARNING,2,2,3,588.876,6.875,1
c205,QLEARNING,1,1,3,588.876,7.25,1
c205,QLEARNING,3,3,3,588.876,7.03125,1
c205,QLEARNING,4,4,3,588.876,6.40625,1
c205,QLEARNING,5,5,3,588.876,7.57812,1
c205,QLEARNING,6,6,3,588.876,7.6875,1
c205,QLEARNING,7,7,3,588.876,8.5,1
c205,QLEARNING,9,9,3,588.876,6.71875,1
c205,QLEARNING,8,8,3,588.876,7.92188,1
c206,CLASSIC,1,1,3,588.493,6.6875,1
c205,QLEARNING,10,10,3,588.876,8.0625,1
c206,CLASSIC,2,2,3,588.493,7.4375,1
c206,CLASSIC,3,3,3,588.493,6.25,1
c206,CLASSIC,4,4,3,588.493,7.14062,1
c206,CLASSIC,6,6,3,588.493,6.8125,1
c206,CLASSIC,5,5,3,588.493,7.92188,1
c206,CLASSIC,8,8,3,588.493,6.75,1
c206,CLASSIC,7,7,3,588.493,8.28125,1
c206,CLASSIC,9,9,3,588.493,7.15625,1
c206,CLASSIC,10,10,3,588.493,7.23438,1
c206,QLEARNING,1,1,3,588.493,7.65625,1
c206,QLEARNING,2,2,3,588.493,6.73438,1
c206,QLEARNING,3,3,3,588.493,7.51562,1
c206,QLEARNING,4,4,3,588.493,7.73438,1
c206,QLEARNING,5,5,3,588.493,7.23438,1
c206,QLEARNING,7,7,3,588.493,7,1
c206,QLEARNING,6,6,3,588.493,8.54688,1
c206,QLEARNING,8,8,3,588.493,7.17188,1
c206,QLEARNING,9,9,3,588.493,7.34375,1
c206,QLEARNING,10,10,3,588.493,8.17188,1
c207,CLASSIC,1,1,3,588.286,7.23438,1
c207,CLASSIC,4,4,3,588.286,7.17188,1
c207,CLASSIC,2,2,3,588.286,8.14062,1
c207,CLASSIC,3,3,3,588.286,7.95312,1
c207,CLASSIC,5,5,3,588.286,6.42188,1
c207,CLASSIC,7,7,3,588.286,7.4375,1
c207,CLASSIC,6,6,3,588.286,8.23438,1
c207,CLASSIC,8,8,3,588.286,7.1875,1
c207,CLASSIC,9,9,3,588.286,7.79688,1
c207,CLASSIC,10,10,3,588.286,6.78125,1
c207,QLEARNING,2,2,3,588.286,6.75,1
c207,QLEARNING,1,1,3,588.286,7.125,1
c207,QLEARNING,3,3,3,588.286,6.95312,1
c207,QLEARNING,5,5,3,588.286,6.875,1
c207,QLEARNING,6,6,3,588.286,6.76562,1
c207,QLEARNING,4,4,3,588.286,8.79688,1
c207,QLEARNING,7,7,3,588.286,7.34375,1
c208,CLASSIC,1,1,3,588.324,6.76562,1
c207,QLEARNING,9,9,3,588.286,7.5,1
c207,QLEARNING,8,8,3,588.286,7.92188,1
c207,QLEARNING,10,10,3,588.286,9.51562,1
c208,CLASSIC,2,2,3,588.324,7.15625,1
c208,CLASSIC,4,4,3,588.324,6.46875,1
c208,CLASSIC,3,3,3,588.324,7.85938,1
c208,CLASSIC,6,6,3,588.324,6.79688,1
c208,CLASSIC,8,8,3,588.324,6.79688,1
c208,CLASSIC,5,5,3,588.324,8.17188,1
c208,CLASSIC,7,7,3,588.324,7.84375,1
c208,CLASSIC,9,9,3,588.324,7.65625,1
c208,CLASSIC,10,10,3,588.324,7.96875,1
c208,QLEARNING,2,2,3,588.324,6.5625,1
c208,QLEARNING,1,1,3,588.324,7.92188,1
c208,QLEARNING,5,5,3,588.324,7.84375,1
c208,QLEARNING,3,3,3,588.324,8.73438,1
c208,QLEARNING,4,4,3,588.324,8.57812,1
