instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
r203,CLASSIC,1,1,3,943.323,5.875,1
r203,CLASSIC,2,2,3,946.624,6.15625,1
r203,CLASSIC,3,3,3,958.252,6.34375,1
r203,QLEARNING,1,1,3,947.936,5.875,1
r203,QLEARNING,2,2,3,947.142,6.4375,1
r203,QLEARNING,3,3,3,947.991,6.35938,1
r204,CLASSIC,1,1,3,753.899,6.5,1
r204,CLASSIC,2,2,3,752.056,6.14062,1
r204,CLASSIC,3,3,3,760.309,6.23438,1
r204,QLEARNING,1,1,2,856.46,6.89062,1
r204,QLEARNING,2,2,3,755.832,6.82812,1
r204,QLEARNING,3,3,3,751.073,6.35938,1
r205,CLASSIC,1,1,3,1016.84,5.09375,1
r205,CLASSIC,2,2,3,1028.32,5.10938,1
r205,CLASSIC,3,3,3,1001.93,4.82812,1
r205,QLEARNING,1,1,3,1023.74,5.28125,1
r205,QLEARNING,2,2,3,1046.25,4.9375,1
r205,QLEARNING,3,3,3,996.511,4.96875,1
r206,CLASSIC,1,1,3,928.574,5.73438,1
r206,CLASSIC,2,2,3,909.819,5.35938,1
r206,CLASSIC,3,3,3,913.242,5.75,1
r206,QLEARNING,1,1,3,924.522,5.64062,1
r206,QLEARNING,2,2,3,914.916,5.67188,1
r206,QLEARNING,3,3,3,929.355,5.40625,1
r207,CLASSIC,1,1,3,821.156,5.90625,1
r207,CLASSIC,2,2,3,815.165,6.32812,1
r207,CLASSIC,3,3,3,812.755,6.42188,1
r207,QLEARNING,1,1,3,832.356,5.92188,1
r207,QLEARNING,2,2,3,835.629,6.48438,1
r207,QLEARNING,3,3,3,824.372,6.10938,1
r208,CLASSIC,1,1,2,736.097,5.71875,1
r208,CLASSIC,2,2,2,732.153,6.1875,1
r208,CLASSIC,3,3,2,732.153,6.25,1
r208,QLEARNING,1,1,2,730.824,5.9375,1
r208,QLEARNING,2,2,2,740.142,6.5625,1
r208,QLEARNING,3,3,2,727.687,6.48438,1
r209,CLASSIC,1,1,3,936.344,5.3125,1
r209,CLASSIC,2,2,3,928.477,5.3125,1
r209,CLASSIC,3,3,3,932.351,5.375,1
r209,QLEARNING,1,1,3,933.041,5.82812,1
r209,QLEARNING,2,2,3,939.675,5.95312,1
r209,QLEARNING,3,3,3,915.243,5.48438,1
r210,CLASSIC,1,1,3,943.089,6.17188,1
r210,CLASSIC,2,2,3,943.089,5.70312,1
r210,CLASSIC,3,3,3,961.065,5.875,1
r210,QLEARNING,1,1,3,957.803,6,1
r210,QLEARNING,2,2,3,964.48,5.78125,1
r210,QLEARNING,3,3,3,966.378,6.10938,1
r211,CLASSIC,1,1,3,798.031,6,1
r211,CLASSIC,2,2,3,800,6,1
r211,CLASSIC,3,3,3,787.188,5.6875,1
r211,QLEARNING,1,1,3,776.47,5.84375,1
r211,QLEARNING,2,2,3,767.818,6.04688,1
r211,QLEARNING,3,3,3,783.075,5.96875,1
rc101,CLASSIC,1,1,15,1639.56,5.5,1
rc101,CLASSIC,2,2,15,1627.71,5.07812,1
rc101,CLASSIC,3,3,15,1631.34,5.42188,1
rc101,QLEARNING,1,1,15,1625.26,5.4375,1
rc101,QLEARNING,2,2,15,1631.34,5.29688,1
rc101,QLEARNING,3,3,15,1631.17,5.14062,1
rc102,CLASSIC,1,1,13,1484.97,6.76562,1
rc102,CLASSIC,2,2,13,1488.39,6.46875,1
rc102,CLASSIC,3,3,13,1489.59,6.60938,1
rc102,QLEARNING,1,1,13,1477.54,6.21875,1
rc102,QLEARNING,2,2,13,1492.99,6.39062,1
rc102,QLEARNING,3,3,13,1492.68,6.21875,1
rc103,CLASSIC,1,1,11,1268.02,7.14062,1
rc103,CLASSIC,2,2,11,1266.76,6.95312,1
rc103,CLASSIC,3,3,11,1263.54,6.70312,1
rc103,QLEARNING,1,1,11,1316.22,7.21875,1
rc103,QLEARNING,2,2,11,1270.18,7.1875,1
rc103,QLEARNING,3,3,11,1274.85,7.3125,1
rc104,CLASSIC,1,1,10,1159.13,6.70312,1
rc104,CLASSIC,2,2,10,1135.63,6.71875,1
rc104,CLASSIC,3,3,10,1145.5,6.875,1
rc104,QLEARNING,1,1,10,1143.4,6.29688,1
rc104,QLEARNING,2,2,10,1146.23,6.15625,1
rc104,QLEARNING,3,3,10,1137.45,6.40625,1
rc105,CLASSIC,1,1,14,1540.21,6.09375,1
rc105,CLASSIC,2,2,14,1542.27,6.04688,1
rc105,CLASSIC,3,3,14,1542.27,6.34375,1
rc105,QLEARNING,1,1,14,1551,6.21875,1
rc105,QLEARNING,2,2,14,1542.27,5.71875,1
rc105,QLEARNING,3,3,14,1553.22,6.28125,1
rc106,CLASSIC,1,1,12,1388.09,5.85938,1
rc106,CLASSIC,2,2,12,1388.54,5.85938,1
rc106,CLASSIC,3,3,12,1387.17,5.40625,1
rc106,QLEARNING,1,1,12,1388.9,5.65625,1
rc106,QLEARNING,2,2,12,1395.7,5.64062,1
rc106,QLEARNING,3,3,12,1415.14,5.26562,1
rc107,CLASSIC,1,1,11,1244.62,6.23438,1
rc107,CLASSIC,2,2,11,1241.95,6.48438,1
rc107,CLASSIC,3,3,11,1245.7,6.4375,1
rc107,QLEARNING,1,1,11,1233.21,6.29688,1
rc107,QLEARNING,2,2,11,1234.29,6.48438,1
rc107,QLEARNING,3,3,11,1264.69,6.0625,1
rc108,CLASSIC,1,1,10,1147.7,7.17188,1
rc108,CLASSIC,2,2,11,1133.83,6.9375,1
rc108,CLASSIC,3,3,11,1124.92,6.76562,1
rc108,QLEARNING,1,1,10,1140.87,6.84375,1
rc108,QLEARNING,2,2,10,1156.32,6.45312,1
rc108,QLEARNING,3,3,11,1134.69,6.23438,1
rc201,CLASSIC,1,1,4,1457.53,4.6875,1
rc201,CLASSIC,2,2,4,1415.29,4.85938,1
rc201,CLASSIC,3,3,4,1415,4.90625,1
rc201,QLEARNING,1,1,4,1448.41,5.125,1
rc201,QLEARNING,2,2,4,1429.33,5.35938,1
rc201,QLEARNING,3,3,4,1413.52,4.71875,1
rc202,CLASSIC,1,1,4,1162.8,5.70312,1
rc202,CLASSIC,2,2,4,1223.21,5.84375,1
rc202,CLASSIC,3,3,4,1186.14,5.73438,1
rc202,QLEARNING,1,1,4,1162.8,5.59375,1
rc202,QLEARNING,2,2,4,1211.71,5.59375,1
rc202,QLEARNING,3,3,4,1162.8,5.57812,1
rc203,CLASSIC,1,1,3,1064.14,6.32812,1
rc203,CLASSIC,2,2,3,1089.53,6.3125,1
rc203,CLASSIC,3,3,3,1081,6.23438,1
rc203,QLEARNING,1,1,3,1068.08,6.03125,1
rc203,QLEARNING,2,2,3,1066.95,6.375,1
rc203,QLEARNING,3,3,3,1075.37,6.28125,1
rc204,CLASSIC,1,1,3,816.348,5.8125,1
rc204,CLASSIC,2,2,3,809.271,6.26562,1
rc204,CLASSIC,3,3,3,827.197,6.04688,1
rc204,QLEARNING,1,1,3,834.404,6.42188,1
rc204,QLEARNING,2,2,3,798.563,6.20312,1
rc204,QLEARNING,3,3,3,798.563,6.39062,1
rc205,CLASSIC,1,1,4,1320.9,5.67188,1
rc205,CLASSIC,2,2,4,1306.08,5.46875,1
rc205,CLASSIC,3,3,4,1329.44,5.65625,1
rc205,QLEARNING,1,1,4,1332.93,5.65625,1
rc205,QLEARNING,2,2,4,1303.37,5.59375,1
rc205,QLEARNING,3,3,4,1327.35,5.46875,1
rc206,CLASSIC,1,1,4,1097.1,5.375,1
rc206,CLASSIC,2,2,3,1190.67,5.25,1
rc206,CLASSIC,3,3,4,1090.78,5.32812,1
rc206,QLEARNING,1,1,4,1092.52,5.1875,1
rc206,QLEARNING,2,2,3,1161.28,5.32812,1
rc206,QLEARNING,3,3,3,1167.88,5.40625,1
rc207,CLASSIC,1,1,3,1090.28,5.5625,1
rc207,CLASSIC,2,2,4,1006.4,5.60938,1
rc207,CLASSIC,3,3,4,1025.77,6.03125,1
rc207,QLEARNING,1,1,4,1026.08,5.8125,1
rc207,QLEARNING,2,2,4,1006.56,5.89062,1
rc207,QLEARNING,3,3,3,1071.42,6.40625,1
rc208,CLASSIC,1,1,3,829.695,5.6875,1
rc208,CLASSIC,2,2,3,829.695,5.67188,1
rc208,CLASSIC,3,3,3,829.695,5.89062,1
rc208,QLEARNING,1,1,3,832.361,6.17188,1
rc208,QLEARNING,2,2,3,847.942,6.21875,1
rc208,QLEARNING,3,3,3,832.361,6.6875,1
