instance,size,class,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
C2_8_2,800,C2,CLASSIC,5,5,26,13291.8,136.141,1
C2_8_2,800,C2,CLASSIC,6,6,26,13459.8,139.156,1
C2_8_2,800,C2,CLASSIC,7,7,26,12593.3,140.953,1
C2_8_2,800,C2,CLASSIC,8,8,26,13197.3,139.625,1
C2_8_2,800,C2,CLASSIC,9,9,27,13581.1,139.203,1
C2_8_2,800,C2,CLASSIC,10,10,26,12720.2,125.891,1
C2_8_2,800,C2,QLEARNING,1,1,25,12596.5,144.562,1
C2_8_2,800,C2,QLEARNING,2,2,25,13356.5,140.5,1
C2_8_2,800,C2,QLEARNING,3,3,26,13678.6,143.703,1
C2_8_2,800,C2,QLEARNING,4,4,25,13231.4,141.453,1
C2_8_2,800,C2,QLEARNING,5,5,25,13428.3,147.781,1
C2_8_2,800,C2,QLEARNING,6,6,27,13638.6,145.016,1
C2_8_2,800,C2,QLEARNING,7,7,25,13183.1,142.672,1
C2_8_2,800,C2,QLEARNING,8,8,25,13447.9,139.609,1
C2_8_2,800,C2,QLEARNING,9,9,25,13055.9,144.734,1
C2_8_2,800,C2,QLEARNING,10,10,26,12930.1,147.609,1
C2_8_3,800,C2,CLASSIC,1,1,25,13044,155.094,1
C2_8_3,800,C2,CLASSIC,2,2,25,12750.4,152.297,1
C2_8_3,800,C2,CLASSIC,3,3,25,13134.2,153.094,1
C2_8_3,800,C2,CLASSIC,4,4,26,13489.3,156.688,1
C2_8_3,800,C2,CLASSIC,5,5,25,13077.4,154.219,1
C2_8_3,800,C2,CLASSIC,6,6,25,13198.5,152.781,1
C2_8_3,800,C2,CLASSIC,7,7,25,13168.1,158.516,1
C2_8_3,800,C2,CLASSIC,8,8,25,13374.6,154.781,1
C2_8_3,800,C2,CLASSIC,9,9,26,13100.4,156.422,1
C2_8_3,800,C2,CLASSIC,10,10,26,13744,156.156,1
C2_8_3,800,C2,QLEARNING,1,1,25,12659.2,161.656,1
C2_8_3,800,C2,QLEARNING,2,2,25,12846.3,160.906,1
C2_8_3,800,C2,QLEARNING,3,3,25,12838.6,159.516,1
C2_8_3,800,C2,QLEARNING,4,4,25,13166.8,161.156,1
C2_8_3,800,C2,QLEARNING,5,5,25,12965.8,162.422,1
C2_8_3,800,C2,QLEARNING,6,6,25,12790.4,159.734,1
C2_8_3,800,C2,QLEARNING,7,7,25,13390.8,161.375,1
C2_8_3,800,C2,QLEARNING,8,8,25,13460.5,162.859,1
C2_8_3,800,C2,QLEARNING,9,9,25,13234.4,161.484,1
C2_8_3,800,C2,QLEARNING,10,10,24,12484.8,161.312,1
C2_8_4,800,C2,CLASSIC,1,1,24,11837.8,157.438,1
C2_8_4,800,C2,CLASSIC,2,2,25,12244,158.922,1
C2_8_4,800,C2,CLASSIC,3,3,25,12094.1,161.844,1
C2_8_4,800,C2,CLASSIC,4,4,24,12128.3,158.562,1
C2_8_4,800,C2,CLASSIC,5,5,24,12425.5,158.125,1
C2_8_4,800,C2,CLASSIC,6,6,24,12882.8,155.766,1
C2_8_4,800,C2,CLASSIC,7,7,25,12110.3,159.297,1
C2_8_4,800,C2,CLASSIC,8,8,25,12439.6,159.141,1
C2_8_4,800,C2,CLASSIC,9,9,24,12892.4,157.312,1
C2_8_4,800,C2,CLASSIC,10,10,24,12358.9,156.594,1
C2_8_4,800,C2,QLEARNING,1,1,24,12020.4,163.891,1
C2_8_4,800,C2,QLEARNING,2,2,24,12573.7,165.25,1
C2_8_4,800,C2,QLEARNING,3,3,24,12515.4,164.516,1
C2_8_4,800,C2,QLEARNING,4,4,24,12292.9,164.016,1
C2_8_4,800,C2,QLEARNING,5,5,24,12028.8,160.219,1
C2_8_4,800,C2,QLEARNING,6,6,24,11980,164.578,1
C2_8_4,800,C2,QLEARNING,7,7,24,12362.4,163.906,1
C2_8_4,800,C2,QLEARNING,8,8,24,11843.6,161.188,1
C2_8_4,800,C2,QLEARNING,9,9,24,11952.5,165.344,1
C2_8_4,800,C2,QLEARNING,10,10,24,12641,164.609,1
C2_8_5,800,C2,CLASSIC,1,1,27,13249.9,92.5469,1
C2_8_5,800,C2,CLASSIC,2,2,27,13449.2,90.4219,1
C2_8_5,800,C2,CLASSIC,3,3,27,14608.6,92.9219,1
C2_8_5,800,C2,CLASSIC,4,4,27,13635.6,92.3438,1
C2_8_5,800,C2,CLASSIC,5,5,28,13814.7,92.9531,1
C2_8_5,800,C2,CLASSIC,6,6,27,13405,90.9531,1
C2_8_5,800,C2,CLASSIC,7,7,27,13409.6,91.4062,1
C2_8_5,800,C2,CLASSIC,8,8,28,13192.2,91.3438,1
C2_8_5,800,C2,CLASSIC,9,9,27,13108.5,92.2344,1
C2_8_5,800,C2,CLASSIC,10,10,28,13955.6,90.7188,1
C2_8_5,800,C2,QLEARNING,1,1,26,13020.6,96.6094,1
C2_8_5,800,C2,QLEARNING,2,2,26,13292.3,93.3125,1
C2_8_5,800,C2,QLEARNING,3,3,27,13681.9,96.4531,1
C2_8_5,800,C2,QLEARNING,4,4,27,13316,98.3281,1
C2_8_5,800,C2,QLEARNING,5,5,26,12764.8,95.8438,1
C2_8_5,800,C2,QLEARNING,6,6,26,12888.7,96.0469,1
C2_8_5,800,C2,QLEARNING,7,7,26,13205.9,94.4375,1
C2_8_5,800,C2,QLEARNING,8,8,26,13465.4,95.9844,1
C2_8_5,800,C2,QLEARNING,9,9,26,13888.4,93.3125,1
C2_8_5,800,C2,QLEARNING,10,10,27,13825,92.6875,1
C2_8_6,800,C2,CLASSIC,1,1,27,13329.3,99.2812,1
C2_8_6,800,C2,CLASSIC,2,2,27,13147.1,97.9219,1
C2_8_6,800,C2,CLASSIC,3,3,27,13159,97.8594,1
C2_8_6,800,C2,CLASSIC,4,4,28,13380.4,99.4844,1
C2_8_6,800,C2,CLASSIC,5,5,27,12901.3,100,1
C2_8_6,800,C2,CLASSIC,6,6,27,13394.3,96.9531,1
C2_8_6,800,C2,CLASSIC,7,7,27,13146.7,98.4219,1
C2_8_6,800,C2,CLASSIC,8,8,27,13554.3,99.1719,1
C2_8_6,800,C2,CLASSIC,9,9,27,13197.8,99.3125,1
C2_8_6,800,C2,CLASSIC,10,10,27,13423.6,99.1562,1
C2_8_6,800,C2,QLEARNING,1,1,26,12921.9,100.203,1
C2_8_6,800,C2,QLEARNING,2,2,27,12935.7,102.438,1
C2_8_6,800,C2,QLEARNING,3,3,26,13468.5,101.891,1
C2_8_6,800,C2,QLEARNING,4,4,25,12328.9,103.141,1
C2_8_6,800,C2,QLEARNING,5,5,26,12731.4,102.172,1
C2_8_6,800,C2,QLEARNING,6,6,26,13758.9,102.734,1
C2_8_6,800,C2,QLEARNING,7,7,26,13148,101.781,1
C2_8_6,800,C2,QLEARNING,8,8,26,13322.6,102.812,1
C2_8_6,800,C2,QLEARNING,9,9,26,13361.2,102.516,1
C2_8_6,800,C2,QLEARNING,10,10,26,13334.7,101.516,1
C2_8_7,800,C2,CLASSIC,1,1,27,13161.3,110.562,1
C2_8_7,800,C2,CLASSIC,2,2,28,13462.6,110.656,1
C2_8_7,800,C2,CLASSIC,3,3,27,12612.5,111.188,1
C2_8_7,800,C2,CLASSIC,4,4,27,13338.7,107.953,1
C2_8_7,800,C2,CLASSIC,5,5,27,13466.4,109.859,1
C2_8_7,800,C2,CLASSIC,6,6,27,13282.4,107.969,1
C2_8_7,800,C2,CLASSIC,7,7,27,13305.1,109.156,1
C2_8_7,800,C2,CLASSIC,8,8,27,12601.4,110.094,1
C2_8_7,800,C2,CLASSIC,9,9,27,13247.4,111.094,1
C2_8_7,800,C2,CLASSIC,10,10,28,13249.9,112.312,1
C2_8_7,800,C2,QLEARNING,1,1,26,13003.4,112.75,1
C2_8_7,800,C2,QLEARNING,2,2,26,13031.1,113.156,1
C2_8_7,800,C2,QLEARNING,3,3,26,12616.8,114.516,1
C2_8_7,800,C2,QLEARNING,4,4,26,13468.9,116.219,1
C2_8_7,800,C2,QLEARNING,5,5,26,12499.7,113.406,1
C2_8_7,800,C2,QLEARNING,6,6,26,12759.7,114.938,1
C2_8_7,800,C2,QLEARNING,7,7,26,13262.7,113.688,1
C2_8_7,800,C2,QLEARNING,8,8,26,13329.4,114.766,1
C2_8_7,800,C2,QLEARNING,9,9,26,13051.1,111.375,1
C2_8_7,800,C2,QLEARNING,10,10,26,13271.9,115.75,1
C2_8_8,800,C2,CLASSIC,1,1,27,13029.4,101.734,1
C2_8_8,800,C2,CLASSIC,2,2,26,13195.9,100.859,1
C2_8_8,800,C2,CLASSIC,3,3,27,12838.9,101.922,1
C2_8_8,800,C2,CLASSIC,4,4,26,13407.4,102.391,1
C2_8_8,800,C2,CLASSIC,5,5,26,13125.7,98.9062,1
C2_8_8,800,C2,CLASSIC,6,6,26,12673.2,101.469,1
C2_8_8,800,C2,CLASSIC,7,7,26,13193.8,100.656,1
C2_8_8,800,C2,CLASSIC,8,8,27,12852.2,102.094,1
C2_8_8,800,C2,CLASSIC,9,9,26,13252,101.453,1
C2_8_8,800,C2,CLASSIC,10,10,26,13265.3,101.109,1
C2_8_8,800,C2,QLEARNING,1,1,25,13193.3,103.328,1
C2_8_8,800,C2,QLEARNING,2,2,25,12620.2,104.969,1
C2_8_8,800,C2,QLEARNING,3,3,25,12490.4,101.609,1
C2_8_8,800,C2,QLEARNING,4,4,25,12236.6,103.656,1
C2_8_8,800,C2,QLEARNING,5,5,25,12512.1,103.875,1
C2_8_8,800,C2,QLEARNING,6,6,26,12696.5,104.078,1
C2_8_8,800,C2,QLEARNING,7,7,26,12919.5,104.188,1
C2_8_8,800,C2,QLEARNING,8,8,26,13388.4,105.469,1
